name,wins,gamesPlayed,win%
username,7,8,0.875
tttuser123,4,7,0.5714285714285714
ben123,4,7,0.5714285714285714
kevin,2,3,0.6666666666666666
markus,3,3,1.0
grassiscool,1,1,1.0
connect5god,1,21,0.047619047619047616
