name,wins,gamesPlayed,win%
grassiscool,10,10,1.0
tttuser123,5,6,0.8333333333333334
username,4,28,0.14285714285714285
connect5god,1,1,1.0
ben123,1,5,0.2
kevin,1,5,0.2
markus,1,4,0.25
